url,season,week,team,opponent,home_flg,favorite_flg,winner_flg,line,over_under,off_pts,def_pts_allowed,team_first_downs,opp_first_downs,team_rush_att,opp_rush_att,team_rush_yds,opp_rush_yds,team_rush_tds,opp_rush_tds,team_pass_comp,opp_pass_comp,team_pass_att,opp_pass_att,team_pass_yds,opp_pass_yds,team_pass_tds,opp_pass_tds,team_pass_int,opp_pass_int,team_sacks,opp_sacks,team_penalty_yds,opp_penalty_yds,team_net_pass_yds,opp_net_pass_yds,team_total_yds,opp_total_yds,team_fumbles,opp_fumbles,team_fumbles_lost,opp_fumbles_lost,team_turnovers,opp_turnovers,team_penalties,opp_penalties,team_third_down_conv,opp_third_down_conv,team_fourth_down_conv,opp_fourth_down_conv,team_time_of_poss,opp_time_of_poss,team_rush_le,opp_rush_le,team_rush_yds_le,opp_rush_yds_le,team_rush_td_le,opp_rush_td_le,team_rush_lt,opp_rush_lt,team_rush_yds_lt,opp_rush_yds_lt,team_rush_td_lt,opp_rush_td_lt,team_rush_lg,opp_rush_lg,team_rush_yds_lg,opp_rush_yds_lg,team_rush_td_lg,opp_rush_td_lg,team_rush_md,opp_rush_md,team_rush_yds_md,opp_rush_yds_md,team_rush_td_md,opp_rush_td_md,team_rush_rg,opp_rush_rg,team_rush_yds_rg,opp_rush_yds_rg,team_rush_td_rg,opp_rush_td_rg,team_rush_rt,opp_rush_rt,team_rush_yds_rt,opp_rush_yds_rt,team_rush_td_rt,opp_rush_td_rt,team_rush_re,opp_rush_re,team_rush_yds_re,opp_rush_yds_re,team_rush_td_re,opp_rush_td_re
/boxscores/201709170sea.htm,2017,2,Seattle Seahawks,San Francisco 49ers,True,True,True,13.5,42.0,12,9,21,11,37,19,131,159,0,0,23,15,39,27,198,99,1,0,0,1,3,2,71,66,181,89,312,248,2,0,0,0,0,1,9,6,8-19,2-12,1-1,0-0,36:58,23:02,3,2,13,7,0,0,7,4,35,94,0,0,1,1,0,4,0,0,2,7,6,33,0,0,6,1,19,0,0,0,5,3,16,21,0,0,5,1,21,0,0,0
/boxscores/201709170sea.htm,2017,2,San Francisco 49ers,Seattle Seahawks,False,False,False,-13.5,42.0,9,12,11,21,19,37,159,131,0,0,15,23,27,39,99,198,0,1,1,0,2,3,66,71,89,181,248,312,0,2,0,0,1,0,6,9,2-12,8-19,0-0,1-1,23:02,36:58,2,3,7,13,0,0,4,7,94,35,0,0,1,1,4,0,0,0,7,2,33,6,0,0,1,6,0,19,0,0,3,5,21,16,0,0,1,5,0,21,0,0
/boxscores/201709170den.htm,2017,2,Denver Broncos,Dallas Cowboys,True,False,True,-2.5,44.0,42,17,26,16,39,14,178,40,1,0,22,30,32,50,231,238,4,2,1,2,2,2,61,69,202,228,380,268,2,0,1,0,2,2,8,8,9-15,3-14,0-0,2-5,33:50,26:10,0,2,0,13,0,0,6,1,39,-5,1,0,4,2,2,1,0,0,11,6,49,16,0,0,7,0,23,0,0,0,4,2,46,8,0,0,5,1,19,7,0,0
/boxscores/201709170den.htm,2017,2,Dallas Cowboys,Denver Broncos,False,True,False,2.5,44.0,17,42,16,26,14,39,40,178,0,1,30,22,50,32,238,231,2,4,2,1,2,2,69,61,228,202,268,380,0,2,0,1,2,2,8,8,3-14,9-15,2-5,0-0,26:10,33:50,2,0,13,0,0,0,1,6,-5,39,0,1,2,4,1,2,0,0,6,11,16,49,0,0,0,7,0,23,0,0,2,4,8,46,0,0,1,5,7,19,0,0
/boxscores/201709170ram.htm,2017,2,Washington Redskins,Los Angeles Rams,False,False,True,-3.0,46.5,27,20,21,14,39,22,229,97,2,1,18,15,27,25,179,247,1,1,0,1,2,2,25,75,156,235,385,332,3,3,0,1,0,2,4,7,5-13,5-12,0-0,1-1,36:19,23:41,3,2,30,1,1,0,4,1,9,6,0,0,6,1,39,0,0,0,16,7,122,32,1,1,4,4,5,19,0,0,2,2,8,9,0,0,1,2,7,4,0,0
/boxscores/201709170ram.htm,2017,2,Los Angeles Rams,Washington Redskins,True,True,False,3.0,46.5,20,27,14,21,22,39,97,229,1,2,15,18,25,27,247,179,1,1,1,0,2,2,75,25,235,156,332,385,3,3,1,0,2,0,7,4,5-12,5-13,1-1,0-0,23:41,36:19,2,3,1,30,0,1,1,4,6,9,0,0,1,6,0,39,0,0,7,16,32,122,1,1,4,4,19,5,0,0,2,2,9,8,0,0,2,1,4,7,0,0
/boxscores/201709170atl.htm,2017,2,Atlanta Falcons,Green Bay Packers,True,True,True,3.0,55.0,34,23,19,24,27,15,141,59,2,1,19,33,28,50,252,343,1,2,0,1,3,3,34,70,223,308,364,367,0,1,0,1,0,2,6,10,5-11,5-12,0-0,3-3,28:37,31:23,3,2,26,10,0,1,2,0,17,0,0,0,4,3,7,11,0,0,0,0,0,0,0,0,7,4,34,12,1,0,4,3,51,19,0,0,7,2,6,8,1,0
/boxscores/201709170atl.htm,2017,2,Green Bay Packers,Atlanta Falcons,False,False,False,-3.0,55.0,23,34,24,19,15,27,59,141,1,2,33,19,50,28,343,252,2,1,1,0,3,3,70,34,308,223,367,364,1,0,1,0,2,0,10,6,5-12,5-11,3-3,0-0,31:23,28:37,2,3,10,26,1,0,0,2,0,17,0,0,3,4,11,7,0,0,0,0,0,0,0,0,4,7,12,34,0,1,3,4,19,51,0,0,2,7,8,6,0,1
/boxscores/201709180nyg.htm,2017,2,Detroit Lions,New York Giants,False,False,True,-3.0,42.0,24,10,12,14,32,18,138,62,0,0,15,22,21,32,122,239,2,1,0,1,3,5,50,50,119,208,257,270,1,1,1,0,1,1,6,7,7-15,4-12,0-1,0-2,32:47,27:13,6,1,28,11,0,0,5,1,15,2,0,0,4,7,1,28,0,0,6,3,27,10,0,0,1,1,-1,-1,0,0,4,2,3,3,0,0,6,3,65,9,0,0
/boxscores/201709180nyg.htm,2017,2,New York Giants,Detroit Lions,True,True,False,3.0,42.0,10,24,14,12,18,32,62,138,0,0,22,15,32,21,239,122,1,2,1,0,5,3,50,50,208,119,270,257,1,1,0,1,1,1,7,6,4-12,7-15,0-2,0-1,27:13,32:47,1,6,11,28,0,0,1,5,2,15,0,0,7,4,28,1,0,0,3,6,10,27,0,0,1,1,-1,-1,0,0,2,4,3,3,0,0,3,6,9,65,0,0
/boxscores/201709140cin.htm,2017,2,Cincinnati Bengals,Houston Texans,True,True,False,5.0,38.0,9,13,12,14,24,35,82,168,0,1,20,15,35,24,224,125,0,0,0,0,3,3,45,61,213,98,295,266,1,0,1,0,1,0,7,9,4-15,4-15,1-2,0-0,27:45,32:15,8,3,25,1,0,0,0,9,0,38,0,0,4,6,15,21,0,0,3,7,2,64,0,1,4,3,17,10,0,0,5,2,23,9,0,0,0,2,0,11,0,0
